Volcano Type,Main Category,Description,Wikipedia Link
Caldera,Caldera,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.,https://en.wikipedia.org/wiki/Caldera
Cinder cone,Cone,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent.",https://en.wikipedia.org/wiki/Cinder_cone
Cinder cones,Cone,Plural form of cinder cone – small volcanoes composed of pyroclastic fragments around a vent.,https://en.wikipedia.org/wiki/Cinder_cone
Cone,Cone,A generic term for a volcanic cone formed by ejected fragments around a vent.,https://en.wikipedia.org/wiki/Volcanic_cone
Pumice cone,Cone,"A volcanic cone formed largely of pumice fragments (light, vesicular rock) ejected during eruption.",https://en.wikipedia.org/wiki/Volcanic_cone
Pyroclastic cone,Cone,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent.",https://en.wikipedia.org/wiki/Pyroclastic_shield
Pyroclastic cones,Cone,Plural of pyroclastic cone – multiple small cones built from explosively ejected fragments.,https://en.wikipedia.org/wiki/Pyroclastic_shield
Scoria cone,Cone,A small volcanic cone composed of scoria (vesicular basaltic fragments) around a vent.,https://en.wikipedia.org/wiki/Scoria_cone
Scoria cones,Cone,Plural of scoria cone – many small cones of scoria in a volcanic field.,https://en.wikipedia.org/wiki/Scoria_cone
Lava cone,Cone,A volcanic cone formed primarily by viscous lava piling up near the vent rather than flowing far.,https://en.wikipedia.org/wiki/Lava_dome
Lava dome,Cone,"A rounded mound formed by highly viscous lava extruding slowly, building up near the vent.",https://en.wikipedia.org/wiki/Lava_dome
Lava domes,Cone,Plural of lava dome – multiple such structures in a volcanic region.,https://en.wikipedia.org/wiki/Lava_dome
Crater rows,Crater System,A line of craters formed along fissures or aligned vents producing multiple craters.,https://en.wikipedia.org/wiki/Volcano
Explosion crater,Crater System,"A crater formed by explosive activity, often shallow, sometimes from phreatic interactions.",https://en.wikipedia.org/wiki/Volcanic_crater_lake
Fissure vent,Crater System,"A linear crack in the crust through which lava erupts, often forming a row of vents.",https://en.wikipedia.org/wiki/Volcano
Fissure vents,Crater System,Plural of fissure vent – multiple vents along cracks releasing lava or gas.,https://en.wikipedia.org/wiki/Volcano
Volcanic complex,Crater System,"A region with multiple volcanic centres and varied volcanic structures, erupting over time.",https://en.wikipedia.org/wiki/Volcanic_complex
Volcanic field,Crater System,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.,https://en.wikipedia.org/wiki/Volcanic_field
Maar,Maars / Tuff ring,"A broad, shallow crater formed by explosive interaction of magma with groundwater (phreatomagmatic).",https://en.wikipedia.org/wiki/Maar
Maars,Maars / Tuff ring,Plural of maar – several such craters often in volcanic fields.,https://en.wikipedia.org/wiki/Maar
Tuff cone,Maars / Tuff ring,"A volcanic cone formed by explosive interaction of magma and water, with fine‐grained tuff deposits.",https://en.wikipedia.org/wiki/Tuff_cone
